id,app,primary_auth,access,api_surface,has_mcp,verdict,evidence_url,note
21,Slack,OAUTH2,self_serve_free,rest,TRUE,build_now,https://docs.slack.dev/ai/slack-mcp-server,"Bot tokens are issued through the OAuth install flow; free workspace is enough. First-party MCP server shipped."
81,Stripe,API_KEY,self_serve_free,rest,TRUE,build_now,https://docs.stripe.com/mcp,"Secret key self-issued in dashboard with no activation; Connect OAuth exists but keys are the normal path. First-party MCP at mcp.stripe.com."
61,GitHub,OAUTH2,self_serve_free,rest+graphql,TRUE,build_now,https://github.com/github/github-mcp-server,"OAuth app or PAT, both self-issued free. REST and GraphQL are both first-class. First-party MCP server."
71,Notion,OAUTH2,self_serve_free,rest,TRUE,build_now,https://developers.notion.com/docs/mcp,"Internal integration token or public OAuth, self-serve on the free plan. First-party hosted MCP."
73,Linear,OAUTH2,self_serve_free,graphql,TRUE,build_now,https://linear.app/docs/mcp,"GraphQL only, no REST. Personal API key or OAuth, free plan. First-party MCP at mcp.linear.app."
36,Klaviyo,API_KEY,self_serve_free,rest,TRUE,build_now,https://developers.klaviyo.com/en/docs/klaviyo_mcp_server,"Private API key from the account settings; free tier up to 250 contacts. First-party MCP server documented."
19,Gorgias,BASIC,self_serve_free,rest,TRUE,build_now,https://docs.gorgias.com/en-US/rest-api-208286,"HTTP Basic with email + API key. No free plan but a self-serve trial issues working credentials. First-party MCP in open beta."
14,Front,BEARER_TOKEN,self_serve_free,rest,TRUE,build_now,https://dev.frontapp.com/docs/mcp-server,"API tokens created in settings; OAuth exists for public apps. First-party MCP documented. Note: developer.frontapp.com is login-walled, dev.frontapp.com is not."
4,Attio,OAUTH2,self_serve_free,rest,TRUE,build_now,https://docs.attio.com/mcp/overview,"Access token for own workspace, OAuth for third-party apps acting on a customer's workspace. Free plan. First-party MCP."
72,Airtable,OAUTH2,self_serve_free,rest,TRUE,build_now,https://support.airtable.com/articles/9897799762-using-the-airtable-mcp-server,"PAT or OAuth, both self-serve. Airtable MCP server listed as available on all plans."
49,Amazon Selling Partner,OAUTH2,approval_required,rest,FALSE,build_with_caveats,https://developer-docs.amazon.com/sp-api/docs/registering-your-application,"LWA OAuth2; AWS SigV4 signing dropped in Oct 2023. Requires a registered developer profile and app registration before credentials exist. Community MCP servers only."
33,LinkedIn Ads,OAUTH2,approval_required,rest,FALSE,needs_outreach,https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access,"3-legged OAuth. Every product requires an application; Standard tier needs a support ticket and LinkedIn 'reserves the right to select partners at its discretion'. Only unofficial MCP servers."
90,PitchBook,UNKNOWN,partner_gated,unknown,FALSE,needs_outreach,https://pitchbook.com/products/premium-connectors,"No public API documentation. API and Premium Connectors are sold to existing subscribers through sales; auth scheme is not publicly documented, so UNKNOWN is the correct answer."
10,DealCloud,S2S_OAUTH2,approval_required,rest,TRUE,build_with_caveats,https://api.docs.dealcloud.com/docs/token,"OAuth2 client-credentials. Docs are public but credentials are provisioned by DealCloud for an existing client tenant. First-party MCP server in client preview from July 2026."
20,Gladly,BASIC,partner_gated,rest,FALSE,build_with_caveats,https://developer.gladly.com/rest/,"Token-based HTTP Basic; admin grants the API User permission in-product. No self-serve purchase path for Gladly itself, so an outside developer cannot obtain a tenant. Docs are public, so the toolkit is writable without one."
60,Clay,API_KEY,plan_gated,rest,TRUE,build_with_caveats,https://www.clay.com/mcp,"HTTP API available on paid plans; users report the API throttled and gated at the Explorer tier upward. First-party Clay MCP."
28,WhatsApp Business,OAUTH2,approval_required,rest,FALSE,build_with_caveats,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started,"Meta system-user access token via Meta app; requires business verification and app review before production messaging. No first-party MCP."
58,Sherlock,NO_AUTH,self_serve_free,sdk_only,FALSE,build_with_caveats,https://github.com/sherlock-project/sherlock,"Open-source Python CLI, not a hosted service. There is no API and no credential; a toolkit means wrapping the binary, which is a different build shape."
98,Mermaid CLI,NO_AUTH,self_serve_free,sdk_only,FALSE,build_now,https://github.com/mermaid-js/mermaid-cli,"Local npm CLI, no auth and no network service. MermaidChart ships an MCP but that is a different company's hosted product, so the vendor-published test fails here."
5,Twenty,API_KEY,self_serve_free,rest+graphql,TRUE,build_now,https://docs.twenty.com/developers/extend/api,"Bearer API key; both GraphQL and REST exposed. Open source and self-hostable, and Twenty Cloud workspaces ship a native MCP server."
