id,app,category,one_liner,primary_auth,auth_methods,access,access_note,api_surface,api_breadth,has_mcp,verdict,blocker,build_score,effort,lane,in_composio,composio_slug,browser_access,reachability,probe_url,evidence
1,Salesforce,CRM and Sales,"Cloud-based CRM platform for managing sales, customer service, and marketing operations.",OAUTH2,OAUTH2|BEARER_TOKEN,self_serve_free,Developers can sign up for a free Developer Edition org and self-issue OAuth credentials via external client apps.,rest,broad,False,build_now,,83.7,L,build_now,True,salesforce,,not_probeable,,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_oauth_and_connected_apps.htm https://developer.salesforce.com/docs/platform/connect-rest-api/guide/intro_using_oauth.html
2,HubSpot,CRM and Sales,"Customer relationship management platform providing APIs for marketing, sales, content, and service hub operations.",OAUTH2,OAUTH2|S2S_OAUTH2|API_KEY|BEARER_TOKEN,self_serve_free,API access is available on the Free tier with rate limits (100 reqs/10 sec). Developers can self-issue tokens via OAuth or static auth.,rest,broad,False,build_now,,83.7,L,build_now,True,hubspot,,live_and_gated,https://api.hubapi.com/crm/objects/2026-03/contacts?limit=10&archived=false,https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/overview https://developers.hubspot.com/docs/developer-tooling/platform/apis-by-tier https://community.hubspot.com/t/api-pricing/9952
3,Pipedrive,CRM and Sales,"CRM and sales pipeline management platform for tracking deals, contacts, and activities.",OAUTH2,OAUTH2|API_KEY,self_serve_free,Developers can request a Developer Sandbox Account for testing or register an app for OAuth 2.0. API tokens can be self-issued from the app.,rest,broad,False,build_now,,83.7,L,build_now,True,pipedrive,,not_probeable,https://companydomain.pipedrive.com/api/v2/deals,https://pipedrive.readme.io/docs/core-api-concepts-authentication https://developers.pipedrive.com/docs/api/v1
4,Attio,CRM and Sales,"CRM platform for managing contacts, companies, deals, and custom records.",OAUTH2,OAUTH2|API_KEY|BEARER_TOKEN|BASIC,self_serve_free,Developers can generate an API key in workspace settings or configure an OAuth 2.0 app via the developer console.,rest,broad,False,build_now,,83.7,L,build_now,True,attio,,live_and_gated,https://api.attio.com/v2/objects,https://docs.attio.com/rest-api/guides/authentication https://docs.attio.com/sdk/server/attio-api-token
5,Twenty,CRM and Sales,"Open-source CRM with schema-per-tenant REST and GraphQL APIs for managing people, companies, and custom objects.",API_KEY,API_KEY|BEARER_TOKEN|OAUTH2,self_serve_free,Developers can create an API key directly in Settings -> API & Webhooks. No specific paid plan is required to generate credentials.,rest+graphql,broad,False,build_now,"No static API reference exists; the API is dynamically generated per workspace based on custom objects, requiring introspection or workspace-specific docs to integrate.",89.0,L,build_now,False,,,live_and_gated,https://api.twenty.com/rest/companies,https://docs.twenty.com/developers/extend/api https://github.com/twentyhq/twenty/issues/10283
6,Podio,CRM and Sales,"Collaborative work management platform for CRM, project management, and team collaboration.",OAUTH2,OAUTH2,self_serve_free,Developers can register an application and self-issue a Client ID and Client Secret to start using the API.,rest,broad,False,build_now,,83.7,L,build_now,False,,,live_and_gated,https://api.podio.com/user,https://developers.podio.com/authentication https://developers.podio.com/authentication/server_side
7,Zoho CRM,CRM and Sales,"Cloud-based customer relationship management software for tracking sales, marketing, and support activities.",OAUTH2,OAUTH2|S2S_OAUTH2,self_serve_free,Developers can register a client and self-issue OAuth2 tokens via the Zoho API Console without manual approval.,rest,broad,False,build_now,,83.6,L,build_now,True,zoho,,not_probeable,,https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html https://www.zoho.com/crm/developer/docs/api/v8/
8,Close,CRM and Sales,"Inside sales and CRM software for managing leads, contacts, activities, and outreach sequences.",OAUTH2,OAUTH2|API_KEY,self_serve_free,Developers can create an OAuth app or self-issue API keys; Close offers a free trial for customers.,rest,broad,True,build_now,,93.9,L,build_now,True,close,,live_and_gated,https://api.close.com/api/v1/me,https://developer.close.com/
9,Copper,CRM and Sales,"CRM platform providing a REST API to manage contacts, leads, opportunities, and account settings.",OAUTH2,OAUTH2|API_KEY,approval_required,OAuth2 requires registering your application via email to partners@copper.com to receive client credentials.,rest,broad,False,build_with_caveats,"OAuth2 client_id and client_secret require manual registration via email to partners@copper.com, preventing immediate self-serve integration.",55.7,L,needs_outreach,False,,no_gate_found,path_not_found,,https://developer.copper.com/introduction/oauth/flow.html https://developer.copper.com/
10,DealCloud,CRM and Sales,"CRM and deal management platform for financial services, providing REST APIs for data, schema, and user management.",S2S_OAUTH2,S2S_OAUTH2,approval_required,APIs are scoped to a specific customer site ({{host}}.dealcloud.com) and require a clientId and clientSecret provisioned for the environment.,rest,broad,True,build_with_caveats,Per-tenant host routing required ({{host}}.dealcloud.com); developers must use the customer's specific site URL and provisioned credentials rather than a centralized global API endpoint.,63.9,L,needs_outreach,False,,,not_probeable,,https://api.docs.dealcloud.com/docs https://api.docs.dealcloud.com/sdk/csharp/authentication
